SN,Average
2269,18
2270,57.5
2271,16
2272,27.5
2273,32.5
2274,37.5
2275,135
2276,37.5
2277,52.5
2278,19
2279,19
2280,32.5
2281,37.5
2282,27.5
2283,22.5
2284,19
2285,32.5
2286,22
2287,29
2288,31
2289,32.5
2290,32.5
2291,32.5
2292,27.5
2293,32.5
2294,32.5
2295,190
2296,135
2297,45
2298,57.5
2299,65
2300,47.5
2301,125
2302,165
2303,47.5
2304,125
2305,47.5
2306,9.5
2307,75
2308,65
2309,65
2310,175
2311,105
2312,55
2313,350
2314,205
2315,55
2316,42.5
2317,87.5
2318,65
2319,30
2320,72.5
2321,62.5
2322,175
2323,175
2324,37.5
2325,55
2326,47.5
2327,75
2328,87.5
2329,55
2330,75
2331,55
2332,205
2333,52.5
2334,44
2335,23.5
2336,20.5
2337,51
2338,47.5
2339,22
2340,55
2341,16.5
2342,25
2343,32.5
2344,42
2345,32.5
2346,52.5
2347,21
2348,22.5
2349,32.5
2350,32.5
2351,22.5
2352,22.5
2353,19
2354,27.5
2355,22.5
2356,32.5
2357,30
2358,32.5
2359,32.5
2360,32.5
2361,27.5
2362,32.5
2363,32.5
2364,155
2365,160
2366,55
2367,57.5
2368,75
2369,57.5
2370,125
2371,175
2372,47.5
2373,125
2374,47.5
2375,9.5
2376,75
2377,65
2378,65
2379,175
2380,105
2381,55
2382,350
2383,205
2384,65
2385,47.5
2386,87.5
2387,65
2388,27.5
2389,62.5
2390,175
2391,175
2392,37.5
2393,55
2394,47.5
2395,145
2396,85
2397,65
2398,75
2399,55
2400,205
2401,52.5
2402,40
2403,23.5
2404,20.5
2405,51
2406,47.5
2407,22
2408,52.5
2409,17.5
2410,22.5
2411,37.5
2412,35
2413,37.5
2414,52.5
2415,22
2416,22
2417,32.5
2418,22.5
2419,22.5
2420,22.5
2421,19
2422,32.5
2423,22
2424,31
2425,31
2426,32.5
2427,32.5
2428,32.5
2429,27.5
2430,32.5
2431,32.5
2432,175
2433,165
2434,55
2435,55
2436,65
2437,47.5
2438,125
2439,175
2440,47.5
2441,125
2442,47.5
2443,75
2444,65
2445,65
2446,105
2447,55
2448,350
2449,205
2450,65
2451,47.5
2452,87.5
2453,65
2454,27.5
2455,16.5
2456,62.5
2457,175
2458,175
2459,37.5
2460,52.5
2461,47.5
2462,95
2463,85
2464,65
2465,85
2466,52.5
2467,205
2468,42.5
2469,37.5
2470,23.5
2471,20.5
2472,51
2473,47.5
2474,23
2475,47.5
2476,17.5
2477,22.5
2478,32.5
2479,45
2480,32.5
2481,47.5
2482,22
2483,22.5
2484,30
2485,27.5
2486,22.5
2487,27.5
2488,19
